code,name,account_type,reconcile
11130719,رسم تنمية على أجهزة التليفون المحمول وأجزاءه وجميع الأكسسوارات الخاصة به,income,True
11130720,رسم تنمية على التبغ الخام أو غير المصنع وفضلات التبغ بكل أشكاله,income,True
11130721,رسم تنمية على جميع أنواع الحديد تام الصنع الوارد من الخارج سواء من خلائط أو غير خلائط,income,True
11130722,"رسم تنمية (2,5%) من قيمة فاتورة الإنترنت للشركات والمنشآت التجارية",income,True
11130723,شرة فى المائة من قيمة الفاتورة للأغراض الجمركية مضافا إليها الضريبة الجمركية,income,True
11130800,ضرائب على استخدام السلع والترخيص باستخدامها وتأدية الانشطة,income,False
11130801,الاتاوة على قناة السويس,income,True
11130802,الاتاوة على استخدام الطريق النهرى,income,True
11130803,رسوم ترخيص العمل للاجانب,income,True
11130804,إيرادات ورسوم ذات صفة محلية,income,True
11130805,المصروفات الادارية للعمليات الاستيرادية,income,True
11130806,رسوم العبور (سوميد),income,True
11130807,رسوم الموانى والمنائر,income,True
11130808,رسوم الاجراءات القنصلية,income,True
11130809,رسوم حليج الاقطان,income,True
11130810,رسوم على جوازات السفر,income,True
11130811,رسوم تصاريح العمل,income,True
11130812,رسوم تحقيق الشخصية,income,True
11130813,رسم صادر على الصادارات,income,True
11140000,ضرائب التجارة الدولية,income,False
11140100,ضرائب على الواردات,income,False
11140101,ضرائب جمركية قيمية,income,True
11140102,ضرائب جمركية على السجائر والتبغ والدخان,income,True
11140200,الضرائب على التجارة الدولية أخرى,income,False
11140201,الضرائب على الصادرات,income,True
11140202,ارباح الشركات المحتكرة للسلع المستوردة أو المصدرة,income,True
11140203,نصيب المحليات فى الضريبة على الصادرات والواردات,income,True
11140204,الضريبة الجمركية المخصصة لدعم النقل البحرى,income,True
11140205,إيرادات الغرامات,income,True
11140206,إيرادات المضبوطات,income,True
11140207,اخرى,income,True
11150000,ضرائب أخرى,income,False
11150100,على الاعمال التجارية,income,False
11150101,ايرادات رؤوس أموال منقولة من البنك المركزى,income,True
11150102,ايرادات رؤوس أموال منقولة من جهات اخرى,income,True
11150103,نصيب المحليات فى الضريبة على رؤوس الأموال المنقولة,income,True
11150104,الضرائب على عوائد أذون الخزانة,income,True
11150105,المحصل من مقابل الاعفاءات الضريبية,income,True
11150200,المتحصلات بالوسائل الإلكترونية,income,False
11150201,متحصلات الكترونية عن اذون تسوية,income,True
11150202,متحصلات الكترونية اخرى,income,True
11200000,لباب الثانى - المنح,income,False
11210000,منح من حكومات أجنبية,income,False
11210100,جارية,income,False
